index,artist,colors,convertedManaCost,flavorText,hasFoil,hasNonFoil,loyalty,manaCost,manaValue,mtgjsonV4Id,multiverseId,name,number,Price (Dollars),power,rarity,setCode,subtypes,text,toughness,types
31790,Joe Slucher,R,4,"The bellow of a minotaur always translates to ""charge.""",1,1,,{3}{R},4,5a10345e-29ba-554e-a60c-5cc2554d343f,447283,Hostile Minotaur,147,$0.01 ,3,common,M19,Minotaur,Haste (This creature can attack and {T} as soon as it comes under your control.),3,Creature
31791,Jason A. Engle,R,4,,1,1,,{3}{R},4,0ddb4f0d-f8c5-54d6-b5b1-981f39d2359b,447284,Inferno Hellion,148,$0.07 ,7,uncommon,M19,Hellion,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
At the beginning of each end step, if Inferno Hellion attacked or blocked this turn, its owner shuffles it into their library.",3,Creature
31792,Alex Konstad,R,6,,1,1,,{4}{R}{R},6,0c6f6baa-e63d-542b-9953-98596a0232e8,447285,"Lathliss, Dragon Queen",149,$3.17 ,6,rare,M19,Dragon,"Flying
Whenever another nontoken Dragon enters the battlefield under your control, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",6,Creature
31793,Brian Snõddy,R,5,"""Catch!""",1,1,,{4}{R},5,9fb3cc7a-2e1f-57b4-a2fd-2fa7338f9c4e,447286,Lava Axe,150,$0.05 ,,common,M19,,Lava Axe deals 5 damage to target player or planeswalker.,,Sorcery
31794,Lucas Graciano,R,2,"When it passes, storm clouds bolt across the land.",1,1,,{R}{R},2,ed9ca949-bf84-5f4b-ab5e-29cf419ee050,447287,Lightning Mare,151,$0.04 ,3,uncommon,M19,"Elemental,Horse","This spell can't be countered.
Lightning Mare can't be blocked by blue creatures.
{1}{R}: Lightning Mare gets +1/+0 until end of turn.",1,Creature
31795,Adam Paquette,R,2,To wield lightning is to tame chaos.,1,1,,{1}{R},2,0d7dcf15-814a-538c-b2c2-2cba2b83aa15,447288,Lightning Strike,152,$0.09 ,,uncommon,M19,,Lightning Strike deals 3 damage to any target.,,Instant
31796,Mathias Kollros,R,3,"The ogres you know are nothing like the Onakke. Possessing both intellect and industry, they had brute strength without being brutish.",1,1,,{2}{R},3,6fe79bdc-3342-54cb-9e80-557e5af3132d,447289,Onakke Ogre,153,$0.01 ,4,common,M19,"Ogre,Warrior",,2,Creature
31797,Grzegorz Rutkowski,R,3,,1,1,3,{1}{R}{R},3,53c01f49-dfc4-50d8-9124-41cc63182906,447290,"Sarkhan, Fireblood",154,$9.51 ,,mythic,M19,Sarkhan,"[+1]: You may discard a card. If you do, draw a card.
[+1]: Add two mana in any combination of colors. Spend this mana only to cast Dragon spells.
[−7]: Create four 5/5 red Dragon creature tokens with flying.",,Planeswalker
31798,Daarken,R,4,,1,1,,{3}{R},4,29bfcba6-4f85-521d-92c4-7a245f971ad2,447291,Sarkhan's Unsealing,155,$0.55 ,,rare,M19,,"Whenever you cast a creature spell with power 4, 5, or 6, Sarkhan's Unsealing deals 4 damage to any target.
Whenever you cast a creature spell with power 7 or greater, Sarkhan's Unsealing deals 4 damage to each opponent and each creature and planeswalker they control.",,Enchantment
31799,Jason Rainville,R,1,The tools of invention became the weapons of revolution.,1,1,,{R},1,a2513497-ca4c-5732-a322-b9a8a391c468,447292,Shock,156,$0.05 ,,common,M19,,Shock deals 2 damage to any target.,,Instant
31800,Even Amundsen,R,5,No rampart can withstand the fury of a giant.,1,1,,{3}{R}{R},5,8017b926-db57-55ff-8cbb-4efdd685cea7,447293,Siegebreaker Giant,157,$0.07 ,6,uncommon,M19,"Giant,Warrior","Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
{3}{R}: Target creature can't block this turn.",3,Creature
31801,Zoltan Boros,R,1,The creation of new weapons demands the destruction of others.,1,1,,{R},1,461601ce-d453-5d3a-b289-435c11c132a8,447294,Smelt,158,$0.03 ,,common,M19,,Destroy target artifact.,,Instant
31802,Daarken,R,5,Fools believe that Kolaghan's brood follows lightning storms. The wise know that it is the other way around.,1,1,,{3}{R}{R},5,0dcba486-77a9-5ee4-8c0b-226ccddd8e20,447295,Sparktongue Dragon,159,$0.01 ,3,common,M19,Dragon,"Flying
When Sparktongue Dragon enters the battlefield, you may pay {2}{R}. When you do, it deals 3 damage to any target.",3,Creature
31803,Chris Rahn,R,3,,1,1,,{2}{R},3,4b01791d-bb0a-5ee7-83b0-bc98e90434d7,447296,Spit Flame,160,$0.22 ,,rare,M19,,"Spit Flame deals 4 damage to target creature.
Whenever a Dragon enters the battlefield under your control, you may pay {R}. If you do, return Spit Flame from your graveyard to your hand.",,Instant
31804,Jakub Kasper,R,2,"To survive imminent doom, it sometimes takes a foolhardy soul who acts first and fears later.",1,1,,{1}{R},2,9c0bebe9-2cff-5b11-9d5d-f7ea483bded6,447297,Sure Strike,161,$0.01 ,,common,M19,,Target creature gets +3/+0 and gains first strike until end of turn.,,Instant
31805,John Avon,R,4,"""You will kneel before me, even if I have to split the earth under your feet!""
—Ash Kronor, Keldon warlord",1,1,,{3}{R},4,5df2d17f-dd6b-5850-9773-759953cba2d4,447298,Tectonic Rift,162,$0.01 ,,uncommon,M19,,Destroy target land. Creatures without flying can't block this turn.,,Sorcery
31806,Kev Walker,R,1,"""Give 'em a push.""
—Mogwin, goblin delinquent",1,1,,{R},1,0b07951f-58fb-5651-903b-ac0f774bb377,447299,Thud,163,$0.24 ,,uncommon,M19,,"As an additional cost to cast this spell, sacrifice a creature.
Thud deals damage equal to the sacrificed creature's power to any target.",,Sorcery
31807,Volkan Baǵa,R,2,"""Unwelcome thoughts crowd my mind. Are they my own madness, or the whispers of another?""
—Sarkhan Vol",1,1,,{1}{R},2,0f55757a-225e-597f-bb1c-c38d5e323388,447300,Tormenting Voice,164,$0.10 ,,common,M19,,"As an additional cost to cast this spell, discard a card.
Draw two cards.",,Sorcery
31808,Steve Prescott,R,3,The sound of the trumpets lights a fire in the hearts of the bold and snuffs the courage of the cowardly.,1,1,,{2}{R},3,f6d41649-0ac6-5da3-8873-1696c7b202a3,447301,Trumpet Blast,165,$0.01 ,,common,M19,,Attacking creatures get +2/+0 until end of turn.,,Instant
31809,Jesper Ejsing,R,2,"""I trained with the Ghitu, and I respect the fire as they do.""",1,1,,{1}{R},2,fa03e5b6-751e-5ec2-849e-116368c50760,447302,Viashino Pyromancer,166,$0.12 ,2,common,M19,"Viashino,Wizard","When Viashino Pyromancer enters the battlefield, it deals 2 damage to target player or planeswalker.",1,Creature
31810,Chris Rahn,R,6,Sometimes an eruption in Shiv produces something more dangerous than a mere river of molten rock.,1,1,,{4}{R}{R},6,4c27d179-3c36-5b0e-8056-ed95499c52ce,447303,Volcanic Dragon,167,$0.05 ,4,uncommon,M19,Dragon,"Flying, haste",4,Creature
31811,Craig J Spearing,R,4,"""Fill the sky with stuff!""",1,1,,{3}{R},4,66b1dd4a-a811-52b2-b9e6-678be895a6d5,447304,Volley Veteran,168,$0.13 ,4,uncommon,M19,"Goblin,Warrior","When Volley Veteran enters the battlefield, it deals damage to target creature an opponent controls equal to the number of Goblins you control.",2,Creature
31812,Paolo Parente,G,3,,1,1,,{2}{G},3,620f4417-bf19-5273-b08b-2af6a679ae56,447305,Blanchwood Armor,169,$0.19 ,,uncommon,M19,Aura,"Enchant creature
Enchanted creature gets +1/+1 for each Forest you control.",,Enchantment
31813,Svetlin Velinov,G,4,"""Nicol Bolas destroyed my world. I owe it to Skalla to celebrate all life, no matter how dangerous.""
—Vivien Reid",1,1,,{3}{G},4,15fb725b-0e8c-5312-a434-a8ef892a09ba,447306,Bristling Boar,170,$0.01 ,4,common,M19,Boar,Bristling Boar can't be blocked by more than one creature.,3,Creature
31814,Vance Kovacs,G,3,"""The centaurs are truly free. Never will they be tamed by temptation or controlled by fear. They live in total harmony, a feat not yet achieved by our kind.""
—Ramal, sage of Westgate",1,1,,{2}{G},3,c1b0e8d5-7fb3-52bc-9608-5338d7b26ec8,447307,Centaur Courser,171,$0.01 ,3,common,M19,"Centaur,Warrior",,3,Creature
31815,Jesper Ejsing,G,6,"If you feel the ground quake, run. If you hear its bellow, flee. If you see its teeth, it's too late.",1,1,,{4}{G}{G},6,effe5d8a-188d-5f1c-ab1a-9f647cb1c3d8,447308,Colossal Dreadmaw,172,$0.06 ,6,common,M19,Dinosaur,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),6,Creature
31816,Randy Vargas,G,3,"""Might doesn't just build empires. It protects them.""
—Inti, Sun Empire knight",1,1,,{2}{G},3,4117fdc9-314d-56c4-bb59-f744e5f33eb1,447309,Colossal Majesty,173,$0.48 ,,uncommon,M19,,"At the beginning of your upkeep, if you control a creature with power 4 or greater, draw a card.",,Enchantment
31817,Jesper Ejsing,G,3,"Its ventricles weep venom, and it consumes only poison.",1,1,,{2}{G},3,a5b8766f-7d66-51a1-b2b9-cde072eca28c,447310,Daggerback Basilisk,174,$0.03 ,2,common,M19,Basilisk,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),2,Creature
31818,Simon Dominic,G,5,"""If you think yourself a chief, then prove your might.""
—Gar-Tun, Mistvalley silverback",1,1,,{3}{G}{G},5,617a6feb-8b51-56cf-bcd5-2af1ef2b9483,447311,Declare Dominance,175,$0.04 ,,uncommon,M19,,Target creature gets +3/+3 until end of turn. All creatures able to block it this turn do so.,,Sorcery
31819,Nils Hamm,G,4,No welcome for those who trespass. Only fang and horn and claw.,1,1,,{3}{G},4,1a724d99-ba88-5b9e-b5d2-0263bfb06b73,447312,Druid of Horns,176,$0.03 ,2,uncommon,M19,"Human,Druid","Whenever you cast an Aura spell that targets Druid of Horns, create a 3/3 green Beast creature token.",3,Creature
31820,Magali Villeneuve,G,2,"""The wild tangle of the Cowl provides sanctuary to life that watched the first buildings rise.""",1,1,,{1}{G},2,055d38dd-3ef5-5fa1-974c-05f5093cc16d,447313,Druid of the Cowl,177,$0.07 ,1,common,M19,"Elf,Druid",{T}: Add {G}.,3,Creature
31821,Greg Opalinski,G,2,"""The land already knows its destiny. I simply ask it to share the tale with me.""",1,1,,{1}{G},2,ad08b719-067c-519f-afe6-f500a6936d85,447314,Dryad Greenseeker,178,$0.21 ,1,uncommon,M19,Dryad,"{T}: Look at the top card of your library. If it's a land card, you may reveal it and put it into your hand.",3,Creature
31822,Matt Stewart,G,2,No single root feeds the forest.,1,1,,{G}{G},2,22bc1699-e7ae-597f-837b-bdd8d2d243c1,447315,Elvish Clancaller,179,$1.27 ,1,rare,M19,"Elf,Druid","Other Elves you control get +1/+1.
{4}{G}{G}, {T}: Search your library for a card named Elvish Clancaller, put it onto the battlefield, then shuffle.",1,Creature
31823,Winona Nelson,G,3,,1,1,,{2}{G},3,8426f97c-9183-5270-9f70-f9934f81b17b,447316,Elvish Rejuvenator,180,$0.09 ,1,common,M19,"Elf,Druid","When Elvish Rejuvenator enters the battlefield, look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.",1,Creature
31824,Zack Stella,G,7,They grow closer with every passing season.,1,1,,{5}{G}{G},7,e1d093a1-b9b5-51ba-b844-4b3605f12378,447317,Ghastbark Twins,181,$0.06 ,7,uncommon,M19,Treefolk,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Ghastbark Twins can block an additional creature each combat.",7,Creature
31825,Scott Murphy,G,3,"Fairgoers were delighted to find that even outside the fairgrounds, Ghirapur was a city of wonders.",1,1,,{2}{G},3,087b9e48-3060-5650-b984-c5e73c7dbc5d,447318,Ghirapur Guide,182,$0.03 ,3,uncommon,M19,"Elf,Scout",{2}{G}: Target creature you control can't be blocked by creatures with power 2 or less this turn.,2,Creature
31826,Randy Gallegos,G,4,"""After everything I've survived, it's hard to be frightened by anything anymore.""
—Vivien Reid",1,1,,{3}{G},4,3fd3815d-a74a-5520-89de-702869ee125e,447319,Giant Spider,183,$0.01 ,2,common,M19,Spider,Reach (This creature can block creatures with flying.),4,Creature
31827,Ryan Pancoast,G,3,,1,1,,{2}{G},3,1eba58df-0bdf-5bfd-ab37-28560d6f50a4,447320,Gift of Paradise,184,$0.07 ,,uncommon,M19,Aura,"Enchant land
When Gift of Paradise enters the battlefield, you gain 3 life.
Enchanted land has ""{T}: Add two mana of any one color.""",,Enchantment
31828,Jonathan Kuo,G,5,"""Each tooth is the length of a horse, and new ones grow in every sixteen days. Let's get a closer look!""
—Vivien Reid",1,1,,{G}{G}{G}{G}{G},5,21929621-f803-5b4e-9d5e-c8a123213c79,447321,Gigantosaurus,185,$1.85 ,10,rare,M19,Dinosaur,,10,Creature
31829,Svetlin Velinov,G,4,You don't want to know how she got that name.,1,1,,{3}{G},4,0075c27c-abdf-503e-9629-9d3080be5b15,447322,"Goreclaw, Terror of Qal Sisma",186,$6.08 ,4,rare,M19,Bear,"Creature spells you cast with power 4 or greater cost {2} less to cast.
Whenever Goreclaw, Terror of Qal Sisma attacks, each creature you control with power 4 or greater gets +1/+1 and gains trample until end of turn.",3,Creature
31830,Johann Bodin,G,2,"Within a mile of the woodland, you will feel her eyes upon you. Within its borders, you will feel her blade.",1,1,,{1}{G},2,8c10cfb4-f3cf-59f9-abdc-270a63bb8d95,447323,Greenwood Sentinel,187,$0.01 ,2,common,M19,"Elf,Scout",Vigilance (Attacking doesn't cause this creature to tap.),2,Creature
31831,John Severin Brassell,G,2,"""Bring down a stag and fix its horns upon Arel's head. She hears the wisdom of our ancestors.""
—Chianul, Who Whispers Twice",1,1,,{1}{G},2,3e1ec888-7f42-5666-ae04-57bf4a8aa298,447324,Highland Game,188,$0.01 ,2,common,M19,Elk,"When Highland Game dies, you gain 2 life.",1,Creature
31832,Daarken,G,1,,1,1,,{X}{G},1,6194f645-dc57-58ab-b365-fe1392a26f90,447325,Hungering Hydra,189,$0.57 ,0,rare,M19,Hydra,"Hungering Hydra enters the battlefield with X +1/+1 counters on it.
Hungering Hydra can't be blocked by more than one creature.
Whenever Hungering Hydra is dealt damage, put that many +1/+1 counters on it. (It must survive the damage to get the counters.)",0,Creature
31833,Daniel Ljunggren,G,2,"""And if you threaten me again, your shiny steel trousers will be sprouting daggerthorn vines.""
—Iveta, rooftop runner",1,1,,{1}{G},2,4618651a-3fa4-5570-af1b-7a7f308a1904,447326,Naturalize,190,$0.05 ,,common,M19,,Destroy target artifact or enchantment.,,Instant
31834,Wayne Reynolds,G,3,"""When the beast cloaks itself in the mighty oak, what good is a bow? When the oak wraps itself around the snarling beast, what good is a hatchet?""
—Dionus, elvish archdruid",1,1,,{2}{G},3,fab0c9b3-2358-5b8a-a789-12b46744ddf8,447327,Oakenform,191,$0.04 ,,common,M19,Aura,"Enchant creature
Enchanted creature gets +3/+3.",,Enchantment
31835,Daniel Ljunggren,G,7,It eats what it wants to eat—which is anything that moves.,1,1,,{4}{G}{G}{G},7,ea266f37-755f-51db-989d-bcc34882be69,447328,Pelakka Wurm,192,$0.14 ,7,rare,M19,Wurm,"Trample
When Pelakka Wurm enters the battlefield, you gain 7 life.
When Pelakka Wurm dies, draw a card.",7,Creature
31836,Pete Venters,G,2,"""Let nothing own the skies but the wind.""
—Dejara, Giltwood druid",1,1,,{1}{G},2,c58e6e46-3b93-5f58-8d9e-62edb3ba3cbe,447329,Plummet,193,$0.05 ,,common,M19,,Destroy target creature with flying.,,Instant
31837,Svetlin Velinov,G,6,"""Look how cute it is now!""
—Vivien Reid",1,1,,{4}{G}{G},6,6f24e261-4f88-5189-83bb-030fbba3fe07,447330,Prodigious Growth,194,$0.21 ,,rare,M19,Aura,"Enchant creature
Enchanted creature gets +7/+7 and has trample.",,Enchantment
31838,Karl Kopinski,G,2,"""You should have seen the look on *both* their faces.""
—Morkamp, Lambholt innkeeper",1,1,,{1}{G},2,ba1df4f4-7a81-50c2-860e-a69777b0e4fd,447331,Rabid Bite,195,$0.02 ,,common,M19,,Target creature you control deals damage equal to its power to target creature you don't control.,,Sorcery
31839,Christopher Moeller,G,3,"""What was once formed by masons, shaped by smiths, or given life by mages, I will return to the embrace of the earth.""",1,1,,{2}{G},3,6b20cc45-fc37-5a5a-a44a-1fd3a3843474,447332,Reclamation Sage,196,$0.25 ,2,uncommon,M19,"Elf,Shaman","When Reclamation Sage enters the battlefield, you may destroy target artifact or enchantment.",1,Creature
31840,Pete Venters,G,3,"""The bones of the past will tell their tales—if you know how to speak their language.""",1,1,,{2}{G},3,4f417115-b682-5470-9151-6ef4ac3f061a,447333,Recollect,197,$0.09 ,,uncommon,M19,,Return target card from your graveyard to your hand.,,Sorcery
31841,Dan Scott,G,5,"""The further into the future I look, the less certain my vision. Even now, the middle distance is obscured by fire.""",1,1,,{4}{G},5,aa99fdbc-ada1-55a8-a3e3-07311d7d4cdf,447334,Rhox Oracle,198,$0.02 ,4,common,M19,"Rhino,Monk","When Rhox Oracle enters the battlefield, draw a card.",2,Creature
31842,Mitchell Malloy,G,2,"The only casualties were a snapped spear, a lost helmet, and some bruised egos.",1,1,,{1}{G},2,c8a1498e-0e5b-5e06-b133-8a0344dac414,447335,Root Snare,199,$0.01 ,,common,M19,,Prevent all combat damage that would be dealt this turn.,,Instant
31843,Randy Vargas,G,3,The Sun Empire's most sacred sites are protected by more than prayers.,1,1,,{1}{G}{G},3,c7dbfcce-eeb3-5598-8256-6704d0a5773d,447336,Runic Armasaur,200,$3.26 ,2,rare,M19,Dinosaur,"Whenever an opponent activates an ability of a creature or land that isn't a mana ability, you may draw a card.",5,Creature
31844,Daniel Ljunggren,G,4,"""Whether we like it or not, our arrival has altered the landscape.""
—Malcolm, navigator of the *Belligerent*",1,1,,{2}{G}{G},4,0983555b-11a8-505d-a581-c19af54380bc,447337,Scapeshift,201,$15.13 ,,mythic,M19,,"Sacrifice any number of lands. Search your library for up to that many land cards, put them onto the battlefield tapped, then shuffle.",,Sorcery
31845,Uriah Voth,G,2,,1,1,,{1}{G},2,a0952e2a-6a5f-5d96-9128-8a9bb3720814,447338,Talons of Wildwood,202,$0.06 ,,common,M19,Aura,"Enchant creature
Enchanted creature gets +1/+1 and has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)
{2}{G}: Return Talons of Wildwood from your graveyard to your hand.",,Enchantment
31846,Uriah Voth,G,2,,1,1,,{1}{G},2,6b0e47d2-5eaf-5b30-bae5-8f2ec1c566ef,447339,Thorn Lieutenant,203,$0.17 ,2,rare,M19,"Elf,Warrior","Whenever Thorn Lieutenant becomes the target of a spell or ability an opponent controls, create a 1/1 green Elf Warrior creature token.
{5}{G}: Thorn Lieutenant gets +4/+4 until end of turn.",3,Creature
31847,Scott Murphy,G,5,"""Halana grew brambles to create a barricade around our camp, hoping that it would keep the wolves out. That was a mistake for which we almost paid dearly.""
—Alena, trapper of Kessig",1,1,,{4}{G},5,eb4923c6-bfdb-5888-9146-2597d88192f5,447340,Thornhide Wolves,204,$0.01 ,4,common,M19,Wolf,,5,Creature
31848,Ryan Pancoast,G,2,The massive dominate through might. The tiny survive with guile. Beware the tiny who become massive.,1,1,,{1}{G},2,7cb6ef86-a9ba-5742-aa69-502bd296aad7,447341,Titanic Growth,205,$0.02 ,,common,M19,,Target creature gets +4/+4 until end of turn.,,Instant
31849,Uriah Voth,G,5,Villagers employ watchdogs as guardians and companions. Druids prefer something a little bigger.,1,1,,{3}{G}{G},5,5c043578-5697-5b42-b6e7-7735e74ba196,447342,Vigilant Baloth,206,$0.02 ,5,uncommon,M19,Beast,Vigilance (Attacking doesn't cause this creature to tap.),5,Creature
31850,Alex Konstad,G,4,"When it passes, the dead are displaced by flourishing life.",1,1,,{2}{G}{G},4,4a1cdfbc-b608-597b-b3bf-6cdd83a6e131,447343,Vine Mare,207,$0.15 ,5,uncommon,M19,"Elemental,Horse","Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Vine Mare can't be blocked by black creatures.",3,Creature
31851,Anna Steinbauer,G,5,,1,1,5,{3}{G}{G},5,b5efc701-88b6-59b4-9147-5feb82763aa9,447344,Vivien Reid,208,$6.40 ,,mythic,M19,Vivien,"[+1]: Look at the top four cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
[−3]: Destroy target artifact, enchantment, or creature with flying.
[−8]: You get an emblem with ""Creatures you control get +2/+2 and have vigilance, trample, and indestructible.""",,Planeswalker
31852,Johannes Voss,G,7,,1,1,,{5}{G}{G},7,2e38a075-18d5-5c28-9d2b-80de9621aa6f,447345,Vivien's Invocation,209,$0.10 ,,rare,M19,,"Look at the top seven cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in a random order. When a creature is put onto the battlefield this way, it deals damage equal to its power to target creature an opponent controls.",,Sorcery
31853,John Stanko,G,1,"Like all jungle plants, the vines must fight and claw for sunlight. Once their place is secured, they grow strong, sharp, and impenetrable.",1,1,,{G},1,c36e878b-e1bb-5e1c-afd8-b1bc386b3aa6,447346,Wall of Vines,210,$0.04 ,0,common,M19,"Plant,Wall","Defender (This creature can't attack.)
Reach (This creature can block creatures with flying.)",3,Creature
31854,Zoltan Boros,"U,W",4,"The best of their trade know every bolt of their rigs, stem to stern.",1,1,,{2}{W}{U},4,dd77e8c9-25f8-558a-8b3b-2da413ba46fe,447347,Aerial Engineer,211,$0.01 ,2,uncommon,M19,"Human,Artificer","As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.",4,Creature
31855,Even Amundsen,"G,U,W",4,,1,1,,{1}{G}{W}{U},4,e52c9d9a-096b-599e-bd5f-fdc8d6b337e6,447348,"Arcades, the Strategist",212,$3.02 ,3,mythic,M19,"Elder,Dragon","Flying, vigilance
Whenever a creature with defender enters the battlefield under your control, draw a card.
Each creature you control with defender assigns combat damage equal to its toughness rather than its power and can attack as though it didn't have defender.",5,Creature
31856,Even Amundsen,"B,R",4,,1,1,,{2}{B}{R},4,5cf6d64f-f18a-5171-84f9-236c97f8fbb7,447349,Brawl-Bash Ogre,213,$0.02 ,3,uncommon,M19,"Ogre,Warrior","Menace (This creature can't be blocked except by two or more creatures.)
Whenever Brawl-Bash Ogre attacks, you may sacrifice another creature. If you do, Brawl-Bash Ogre gets +2/+2 until end of turn.",3,Creature
31857,Chase Stone,"B,U,W",7,,1,1,,{4}{W}{U}{B},7,62344e2c-e814-5fce-9feb-4f315b7113ea,447350,"Chromium, the Mutable",214,$0.98 ,7,mythic,M19,"Elder,Dragon","Flash
This spell can't be countered.
Flying
Discard a card: Until end of turn, Chromium, the Mutable becomes a Human with base power and toughness 1/1, loses all abilities, and gains hexproof. It can't be blocked this turn.",7,Creature
31858,Yongjae Choi,"G,R",3,"""If I am to die, I will die in the embrace of immeasurable flame.""",1,1,,{1}{R}{G},3,e3997fb4-bab1-5dd7-b118-9656ec0c5f0b,447351,Draconic Disciple,215,$0.08 ,2,uncommon,M19,"Human,Shaman","{T}: Add one mana of any color.
{7}, {T}, Sacrifice Draconic Disciple: Create a 5/5 red Dragon creature token with flying.",2,Creature
31859,Steve Argyle,"R,U",3,Many initiates believe it possesses secrets beyond imagining. Many have become meals trying to learn them.,1,1,,{1}{U}{R},3,e7517699-8f8b-564d-b1a3-110b0cc28006,447352,Enigma Drake,216,$0.10 ,*,uncommon,M19,Drake,"Flying
Enigma Drake's power is equal to the number of instant and sorcery cards in your graveyard.",4,Creature
31860,Scott Murphy,"R,W",4,Cries of anguish quickly spurred cries of action.,1,1,,{2}{R}{W},4,10564261-7b3a-52b8-94af-48d3e0fcfcbe,447353,Heroic Reinforcements,217,$0.12 ,,uncommon,M19,,"Create two 1/1 white Soldier creature tokens. Until end of turn, creatures you control get +1/+1 and gain haste. (They can attack and {T} this turn.)",,Sorcery
31861,Svetlin Velinov,"B,R,U",4,,1,1,,{1}{U}{B}{R},4,e740ce57-8692-51e3-b7f7-f715054f17a8,447354,"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",218,$26.76 ,4,mythic,M19,"Elder,Dragon","Flying
When Nicol Bolas, the Ravager enters the battlefield, each opponent discards a card.
{4}{U}{B}{R}: Exile Nicol Bolas, the Ravager, then return him to the battlefield transformed under his owner's control. Activate only as a sorcery.",4,Creature
31863,Svetlin Velinov,"G,R,W",6,Sister of Nicol Bolas. Survivor of the Elder Dragon War. The most vicious of her kin.,1,1,,{3}{R}{G}{W},6,02a84d04-6bc2-5416-bb62-311e705cb9ab,447356,"Palladia-Mors, the Ruiner",219,$0.93 ,6,mythic,M19,"Elder,Dragon","Flying, vigilance, trample
Palladia-Mors, the Ruiner has hexproof if it hasn't dealt damage yet.",6,Creature
31864,Dmitry Burmak,"B,G",4,,1,1,,{2}{B}{G},4,d0ec5de2-7bec-5434-976a-74ba40d7c68d,447357,Poison-Tip Archer,220,$1.13 ,2,uncommon,M19,"Elf,Archer","Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Whenever another creature dies, each opponent loses 1 life.",3,Creature
31865,Robbie Trevino,"B,U",6,"""I turn around and see nothing, yet I know it is behind me. Its fingers rummage in my mind, crafting new ideas.""",1,1,,{4}{U}{B},6,1de4dec5-d2dd-5c85-b0d0-b800b209540d,447358,Psychic Symbiont,221,$0.06 ,3,uncommon,M19,"Nightmare,Horror","Flying
When Psychic Symbiont enters the battlefield, target opponent discards a card and you draw a card.",3,Creature
31866,Winona Nelson,"B,W",5,Those of esteemed birth earn a most esteemed death.,1,1,,{3}{W}{B},5,81d3473c-2e53-5c6f-a484-122a95ed2237,447359,Regal Bloodlord,222,$0.12 ,2,uncommon,M19,"Vampire,Soldier","Flying
At the beginning of each end step, if you gained life this turn, create a 1/1 black Bat creature token with flying.",4,Creature
31867,Sidharth Chaturvedi,"G,W",3,"""The threads of magic that protect this place were woven by my will.""",1,1,,{1}{G}{W},3,379fd7c8-7aaa-5500-ac2f-492287b7e0f0,447360,Satyr Enchanter,223,$1.39 ,2,uncommon,M19,"Satyr,Druid","Whenever you cast an enchantment spell, draw a card.",2,Creature
31868,Mitchell Malloy,"G,U",4,,1,1,,{2}{G}{U},4,5dc18e7c-3ae2-52e6-9e1f-7924098e60b0,447361,Skyrider Patrol,224,$0.08 ,2,uncommon,M19,"Elf,Scout","Flying
At the beginning of combat on your turn, you may pay {G}{U}. When you do, put a +1/+1 counter on another target creature you control, and that creature gains flying until end of turn.",3,Creature
31869,Steven Belledin,"B,G,R",6,,1,1,,{3}{B}{R}{G},6,ea27dcab-1a5d-58b2-bb08-7f1f21b453df,447362,"Vaevictis Asmadi, the Dire",225,$2.67 ,6,mythic,M19,"Elder,Dragon","Flying
Whenever Vaevictis Asmadi, the Dire attacks, for each player, choose target permanent that player controls. Those players sacrifice those permanents. Each player who sacrificed a permanent this way reveals the top card of their library, then puts it onto the battlefield if it's a permanent card.",6,Creature
31870,Aaron Miller,,2,"Whether it is magical, lucky, or merely old, it is cherished, and that gives it power.",1,1,,{2},2,ea76e106-5aec-5548-b27a-1bc625a5edb4,447363,Amulet of Safekeeping,226,$0.12 ,,rare,M19,,"Whenever you become the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {1}.
Creature tokens get -1/-0.",,Artifact
31871,Nic Klein,,3,"Knowledge itself is neither good nor evil. Just as the wrong book in the wrong hands could doom all existence, the same book in the right hands could save it.",1,1,,{3},3,fbcd0ff0-da22-5077-a0f2-2c996599bb02,447364,Arcane Encyclopedia,227,$0.21 ,,uncommon,M19,,"{3}, {T}: Draw a card.",,Artifact
31872,Kari Christensen,,3,,1,1,,{3},3,04650b89-de65-5d96-9f74-3ad78e81bd49,447365,Chaos Wand,228,$0.20 ,,rare,M19,,"{4}, {T}: Target opponent exiles cards from the top of their library until they exile an instant or sorcery card. You may cast that card without paying its mana cost. Then put the exiled cards that weren't cast this way on the bottom of that library in a random order.",,Artifact
