cn,artist,cardindex,colors,convertedManaCost,flavor_text,loyalty,manaCost,manaValue,mtgjsonV4Id,multiverseId,name,power,Price (Dollars),rarity,rules_text,setCode,subtypes,toughness,types
172,Jesper Ejsing,31815,G,6,"If you feel the ground quake, run. If you hear its bellow, flee. If you see its teeth, it's too late.",,{4}{G}{G},6,effe5d8a-188d-5f1c-ab1a-9f647cb1c3d8,447308,Colossal Dreadmaw,6,0.06,common,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),M19,Dinosaur,6,Creature
173,Randy Vargas,31816,G,3,"""Might doesn't just build empires. It protects them.""
â€”Inti, Sun Empire knight",,{2}{G},3,4117fdc9-314d-56c4-bb59-f744e5f33eb1,447309,Colossal Majesty,,0.48,uncommon,"At the beginning of your upkeep, if you control a creature with power 4 or greater, draw a card.",M19,,,Enchantment
174,Jesper Ejsing,31817,G,3,"Its ventricles weep venom, and it consumes only poison.",,{2}{G},3,a5b8766f-7d66-51a1-b2b9-cde072eca28c,447310,Daggerback Basilisk,2,0.03,common,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),M19,Basilisk,2,Creature
175,Simon Dominic,31818,G,5,"""If you think yourself a chief, then prove your might.""
â€”Gar-Tun, Mistvalley silverback",,{3}{G}{G},5,617a6feb-8b51-56cf-bcd5-2af1ef2b9483,447311,Declare Dominance,,0.04,uncommon,Target creature gets +3/+3 until end of turn. All creatures able to block it this turn do so.,M19,,,Sorcery
176,Nils Hamm,31819,G,4,No welcome for those who trespass. Only fang and horn and claw.,,{3}{G},4,1a724d99-ba88-5b9e-b5d2-0263bfb06b73,447312,Druid of Horns,2,0.03,uncommon,"Whenever you cast an Aura spell that targets Druid of Horns, create a 3/3 green Beast creature token.",M19,"Human,Druid",3,Creature
177,Magali Villeneuve,31820,G,2,"""The wild tangle of the Cowl provides sanctuary to life that watched the first buildings rise.""",,{1}{G},2,055d38dd-3ef5-5fa1-974c-05f5093cc16d,447313,Druid of the Cowl,1,0.07,common,{T}: Add {G}.,M19,"Elf,Druid",3,Creature
178,Greg Opalinski,31821,G,2,"""The land already knows its destiny. I simply ask it to share the tale with me.""",,{1}{G},2,ad08b719-067c-519f-afe6-f500a6936d85,447314,Dryad Greenseeker,1,0.21,uncommon,"{T}: Look at the top card of your library. If it's a land card, you may reveal it and put it into your hand.",M19,Dryad,3,Creature
179,Matt Stewart,31822,G,2,No single root feeds the forest.,,{G}{G},2,22bc1699-e7ae-597f-837b-bdd8d2d243c1,447315,Elvish Clancaller,1,1.27,rare,"Other Elves you control get +1/+1.
{4}{G}{G}, {T}: Search your library for a card named Elvish Clancaller, put it onto the battlefield, then shuffle.",M19,"Elf,Druid",1,Creature
180,Winona Nelson,31823,G,3,,,{2}{G},3,8426f97c-9183-5270-9f70-f9934f81b17b,447316,Elvish Rejuvenator,1,0.09,common,"When Elvish Rejuvenator enters the battlefield, look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.",M19,"Elf,Druid",1,Creature
181,Zack Stella,31824,G,7,They grow closer with every passing season.,,{5}{G}{G},7,e1d093a1-b9b5-51ba-b844-4b3605f12378,447317,Ghastbark Twins,7,0.06,uncommon,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Ghastbark Twins can block an additional creature each combat.",M19,Treefolk,7,Creature
182,Scott Murphy,31825,G,3,"Fairgoers were delighted to find that even outside the fairgrounds, Ghirapur was a city of wonders.",,{2}{G},3,087b9e48-3060-5650-b984-c5e73c7dbc5d,447318,Ghirapur Guide,3,0.03,uncommon,{2}{G}: Target creature you control can't be blocked by creatures with power 2 or less this turn.,M19,"Elf,Scout",2,Creature
183,Randy Gallegos,31826,G,4,"""After everything I've survived, it's hard to be frightened by anything anymore.""
â€”Vivien Reid",,{3}{G},4,3fd3815d-a74a-5520-89de-702869ee125e,447319,Giant Spider,2,0.01,common,Reach (This creature can block creatures with flying.),M19,Spider,4,Creature
184,Ryan Pancoast,31827,G,3,,,{2}{G},3,1eba58df-0bdf-5bfd-ab37-28560d6f50a4,447320,Gift of Paradise,,0.07,uncommon,"Enchant land
When Gift of Paradise enters the battlefield, you gain 3 life.
Enchanted land has ""{T}: Add two mana of any one color.""",M19,Aura,,Enchantment
185,Jonathan Kuo,31828,G,5,"""Each tooth is the length of a horse, and new ones grow in every sixteen days. Let's get a closer look!""
â€”Vivien Reid",,{G}{G}{G}{G}{G},5,21929621-f803-5b4e-9d5e-c8a123213c79,447321,Gigantosaurus,10,1.85,rare,,M19,Dinosaur,10,Creature
186,Svetlin Velinov,31829,G,4,You don't want to know how she got that name.,,{3}{G},4,0075c27c-abdf-503e-9629-9d3080be5b15,447322,"Goreclaw, Terror of Qal Sisma",4,6.08,rare,"Creature spells you cast with power 4 or greater cost {2} less to cast.
Whenever Goreclaw, Terror of Qal Sisma attacks, each creature you control with power 4 or greater gets +1/+1 and gains trample until end of turn.",M19,Bear,3,Creature
187,Johann Bodin,31830,G,2,"Within a mile of the woodland, you will feel her eyes upon you. Within its borders, you will feel her blade.",,{1}{G},2,8c10cfb4-f3cf-59f9-abdc-270a63bb8d95,447323,Greenwood Sentinel,2,0.01,common,Vigilance (Attacking doesn't cause this creature to tap.),M19,"Elf,Scout",2,Creature
188,John Severin Brassell,31831,G,2,"""Bring down a stag and fix its horns upon Arel's head. She hears the wisdom of our ancestors.""
â€”Chianul, Who Whispers Twice",,{1}{G},2,3e1ec888-7f42-5666-ae04-57bf4a8aa298,447324,Highland Game,2,0.01,common,"When Highland Game dies, you gain 2 life.",M19,Elk,1,Creature
189,Daarken,31832,G,1,,,{X}{G},1,6194f645-dc57-58ab-b365-fe1392a26f90,447325,Hungering Hydra,0,0.57,rare,"Hungering Hydra enters the battlefield with X +1/+1 counters on it.
Hungering Hydra can't be blocked by more than one creature.
Whenever Hungering Hydra is dealt damage, put that many +1/+1 counters on it. (It must survive the damage to get the counters.)",M19,Hydra,0,Creature
190,Daniel Ljunggren,31833,G,2,"""And if you threaten me again, your shiny steel trousers will be sprouting daggerthorn vines.""
â€”Iveta, rooftop runner",,{1}{G},2,4618651a-3fa4-5570-af1b-7a7f308a1904,447326,Naturalize,,0.05,common,Destroy target artifact or enchantment.,M19,,,Instant
191,Wayne Reynolds,31834,G,3,"""When the beast cloaks itself in the mighty oak, what good is a bow? When the oak wraps itself around the snarling beast, what good is a hatchet?""
â€”Dionus, elvish archdruid",,{2}{G},3,fab0c9b3-2358-5b8a-a789-12b46744ddf8,447327,Oakenform,,0.04,common,"Enchant creature
Enchanted creature gets +3/+3.",M19,Aura,,Enchantment
192,Daniel Ljunggren,31835,G,7,It eats what it wants to eatâ€”which is anything that moves.,,{4}{G}{G}{G},7,ea266f37-755f-51db-989d-bcc34882be69,447328,Pelakka Wurm,7,0.14,rare,"Trample
When Pelakka Wurm enters the battlefield, you gain 7 life.
When Pelakka Wurm dies, draw a card.",M19,Wurm,7,Creature
193,Pete Venters,31836,G,2,"""Let nothing own the skies but the wind.""
â€”Dejara, Giltwood druid",,{1}{G},2,c58e6e46-3b93-5f58-8d9e-62edb3ba3cbe,447329,Plummet,,0.05,common,Destroy target creature with flying.,M19,,,Instant
194,Svetlin Velinov,31837,G,6,"""Look how cute it is now!""
â€”Vivien Reid",,{4}{G}{G},6,6f24e261-4f88-5189-83bb-030fbba3fe07,447330,Prodigious Growth,,0.21,rare,"Enchant creature
Enchanted creature gets +7/+7 and has trample.",M19,Aura,,Enchantment
195,Karl Kopinski,31838,G,2,"""You should have seen the look on *both* their faces.""
â€”Morkamp, Lambholt innkeeper",,{1}{G},2,ba1df4f4-7a81-50c2-860e-a69777b0e4fd,447331,Rabid Bite,,0.02,common,Target creature you control deals damage equal to its power to target creature you don't control.,M19,,,Sorcery
196,Christopher Moeller,31839,G,3,"""What was once formed by masons, shaped by smiths, or given life by mages, I will return to the embrace of the earth.""",,{2}{G},3,6b20cc45-fc37-5a5a-a44a-1fd3a3843474,447332,Reclamation Sage,2,0.25,uncommon,"When Reclamation Sage enters the battlefield, you may destroy target artifact or enchantment.",M19,"Elf,Shaman",1,Creature
197,Pete Venters,31840,G,3,"""The bones of the past will tell their talesâ€”if you know how to speak their language.""",,{2}{G},3,4f417115-b682-5470-9151-6ef4ac3f061a,447333,Recollect,,0.09,uncommon,Return target card from your graveyard to your hand.,M19,,,Sorcery
198,Dan Scott,31841,G,5,"""The further into the future I look, the less certain my vision. Even now, the middle distance is obscured by fire.""",,{4}{G},5,aa99fdbc-ada1-55a8-a3e3-07311d7d4cdf,447334,Rhox Oracle,4,0.02,common,"When Rhox Oracle enters the battlefield, draw a card.",M19,"Rhino,Monk",2,Creature
199,Mitchell Malloy,31842,G,2,"The only casualties were a snapped spear, a lost helmet, and some bruised egos.",,{1}{G},2,c8a1498e-0e5b-5e06-b133-8a0344dac414,447335,Root Snare,,0.01,common,Prevent all combat damage that would be dealt this turn.,M19,,,Instant
200,Randy Vargas,31843,G,3,The Sun Empire's most sacred sites are protected by more than prayers.,,{1}{G}{G},3,c7dbfcce-eeb3-5598-8256-6704d0a5773d,447336,Runic Armasaur,2,3.26,rare,"Whenever an opponent activates an ability of a creature or land that isn't a mana ability, you may draw a card.",M19,Dinosaur,5,Creature
201,Daniel Ljunggren,31844,G,4,"""Whether we like it or not, our arrival has altered the landscape.""
â€”Malcolm, navigator of the *Belligerent*",,{2}{G}{G},4,0983555b-11a8-505d-a581-c19af54380bc,447337,Scapeshift,,15.13,mythic,"Sacrifice any number of lands. Search your library for up to that many land cards, put them onto the battlefield tapped, then shuffle.",M19,,,Sorcery
202,Uriah Voth,31845,G,2,,,{1}{G},2,a0952e2a-6a5f-5d96-9128-8a9bb3720814,447338,Talons of Wildwood,,0.06,common,"Enchant creature
Enchanted creature gets +1/+1 and has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)
{2}{G}: Return Talons of Wildwood from your graveyard to your hand.",M19,Aura,,Enchantment
203,Uriah Voth,31846,G,2,,,{1}{G},2,6b0e47d2-5eaf-5b30-bae5-8f2ec1c566ef,447339,Thorn Lieutenant,2,0.17,rare,"Whenever Thorn Lieutenant becomes the target of a spell or ability an opponent controls, create a 1/1 green Elf Warrior creature token.
{5}{G}: Thorn Lieutenant gets +4/+4 until end of turn.",M19,"Elf,Warrior",3,Creature
204,Scott Murphy,31847,G,5,"""Halana grew brambles to create a barricade around our camp, hoping that it would keep the wolves out. That was a mistake for which we almost paid dearly.""
â€”Alena, trapper of Kessig",,{4}{G},5,eb4923c6-bfdb-5888-9146-2597d88192f5,447340,Thornhide Wolves,4,0.01,common,,M19,Wolf,5,Creature
205,Ryan Pancoast,31848,G,2,The massive dominate through might. The tiny survive with guile. Beware the tiny who become massive.,,{1}{G},2,7cb6ef86-a9ba-5742-aa69-502bd296aad7,447341,Titanic Growth,,0.02,common,Target creature gets +4/+4 until end of turn.,M19,,,Instant
206,Uriah Voth,31849,G,5,Villagers employ watchdogs as guardians and companions. Druids prefer something a little bigger.,,{3}{G}{G},5,5c043578-5697-5b42-b6e7-7735e74ba196,447342,Vigilant Baloth,5,0.02,uncommon,Vigilance (Attacking doesn't cause this creature to tap.),M19,Beast,5,Creature
207,Alex Konstad,31850,G,4,"When it passes, the dead are displaced by flourishing life.",,{2}{G}{G},4,4a1cdfbc-b608-597b-b3bf-6cdd83a6e131,447343,Vine Mare,5,0.15,uncommon,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Vine Mare can't be blocked by black creatures.",M19,"Elemental,Horse",3,Creature
208,Anna Steinbauer,31851,G,5,,5,{3}{G}{G},5,b5efc701-88b6-59b4-9147-5feb82763aa9,447344,Vivien Reid,,6.40,mythic,"[+1]: Look at the top four cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
[âˆ’3]: Destroy target artifact, enchantment, or creature with flying.
[âˆ’8]: You get an emblem with ""Creatures you control get +2/+2 and have vigilance, trample, and indestructible.""",M19,Vivien,,Planeswalker
209,Johannes Voss,31852,G,7,,,{5}{G}{G},7,2e38a075-18d5-5c28-9d2b-80de9621aa6f,447345,Vivien's Invocation,,0.10,rare,"Look at the top seven cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in a random order. When a creature is put onto the battlefield this way, it deals damage equal to its power to target creature an opponent controls.",M19,,,Sorcery
210,John Stanko,31853,G,1,"Like all jungle plants, the vines must fight and claw for sunlight. Once their place is secured, they grow strong, sharp, and impenetrable.",,{G},1,c36e878b-e1bb-5e1c-afd8-b1bc386b3aa6,447346,Wall of Vines,0,0.04,common,"Defender (This creature can't attack.)
Reach (This creature can block creatures with flying.)",M19,"Plant,Wall",3,Creature
211,Zoltan Boros,31854,"U,W",4,"The best of their trade know every bolt of their rigs, stem to stern.",,{2}{W}{U},4,dd77e8c9-25f8-558a-8b3b-2da413ba46fe,447347,Aerial Engineer,2,0.01,uncommon,"As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.",M19,"Human,Artificer",4,Creature
212,Even Amundsen,31855,"G,U,W",4,,,{1}{G}{W}{U},4,e52c9d9a-096b-599e-bd5f-fdc8d6b337e6,447348,"Arcades, the Strategist",3,3.02,mythic,"Flying, vigilance
Whenever a creature with defender enters the battlefield under your control, draw a card.
Each creature you control with defender assigns combat damage equal to its toughness rather than its power and can attack as though it didn't have defender.",M19,"Elder,Dragon",5,Creature
213,Even Amundsen,31856,"B,R",4,,,{2}{B}{R},4,5cf6d64f-f18a-5171-84f9-236c97f8fbb7,447349,Brawl-Bash Ogre,3,0.02,uncommon,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Brawl-Bash Ogre attacks, you may sacrifice another creature. If you do, Brawl-Bash Ogre gets +2/+2 until end of turn.",M19,"Ogre,Warrior",3,Creature
214,Chase Stone,31857,"B,U,W",7,,,{4}{W}{U}{B},7,62344e2c-e814-5fce-9feb-4f315b7113ea,447350,"Chromium, the Mutable",7,0.98,mythic,"Flash
This spell can't be countered.
Flying
Discard a card: Until end of turn, Chromium, the Mutable becomes a Human with base power and toughness 1/1, loses all abilities, and gains hexproof. It can't be blocked this turn.",M19,"Elder,Dragon",7,Creature
215,Yongjae Choi,31858,"G,R",3,"""If I am to die, I will die in the embrace of immeasurable flame.""",,{1}{R}{G},3,e3997fb4-bab1-5dd7-b118-9656ec0c5f0b,447351,Draconic Disciple,2,0.08,uncommon,"{T}: Add one mana of any color.
{7}, {T}, Sacrifice Draconic Disciple: Create a 5/5 red Dragon creature token with flying.",M19,"Human,Shaman",2,Creature
216,Steve Argyle,31859,"R,U",3,Many initiates believe it possesses secrets beyond imagining. Many have become meals trying to learn them.,,{1}{U}{R},3,e7517699-8f8b-564d-b1a3-110b0cc28006,447352,Enigma Drake,*,0.10,uncommon,"Flying
Enigma Drake's power is equal to the number of instant and sorcery cards in your graveyard.",M19,Drake,4,Creature
217,Scott Murphy,31860,"R,W",4,Cries of anguish quickly spurred cries of action.,,{2}{R}{W},4,10564261-7b3a-52b8-94af-48d3e0fcfcbe,447353,Heroic Reinforcements,,0.12,uncommon,"Create two 1/1 white Soldier creature tokens. Until end of turn, creatures you control get +1/+1 and gain haste. (They can attack and {T} this turn.)",M19,,,Sorcery
218,Svetlin Velinov,31861,"B,R,U",4,,,{1}{U}{B}{R},4,e740ce57-8692-51e3-b7f7-f715054f17a8,447354,"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",4,26.76,mythic,"Flying
When Nicol Bolas, the Ravager enters the battlefield, each opponent discards a card.
{4}{U}{B}{R}: Exile Nicol Bolas, the Ravager, then return him to the battlefield transformed under his owner's control. Activate only as a sorcery.",M19,"Elder,Dragon",4,Creature
219,Svetlin Velinov,31863,"G,R,W",6,Sister of Nicol Bolas. Survivor of the Elder Dragon War. The most vicious of her kin.,,{3}{R}{G}{W},6,02a84d04-6bc2-5416-bb62-311e705cb9ab,447356,"Palladia-Mors, the Ruiner",6,0.93,mythic,"Flying, vigilance, trample
Palladia-Mors, the Ruiner has hexproof if it hasn't dealt damage yet.",M19,"Elder,Dragon",6,Creature
220,Dmitry Burmak,31864,"B,G",4,,,{2}{B}{G},4,d0ec5de2-7bec-5434-976a-74ba40d7c68d,447357,Poison-Tip Archer,2,1.13,uncommon,"Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Whenever another creature dies, each opponent loses 1 life.",M19,"Elf,Archer",3,Creature
221,Robbie Trevino,31865,"B,U",6,"""I turn around and see nothing, yet I know it is behind me. Its fingers rummage in my mind, crafting new ideas.""",,{4}{U}{B},6,1de4dec5-d2dd-5c85-b0d0-b800b209540d,447358,Psychic Symbiont,3,0.06,uncommon,"Flying
When Psychic Symbiont enters the battlefield, target opponent discards a card and you draw a card.",M19,"Nightmare,Horror",3,Creature
222,Winona Nelson,31866,"B,W",5,Those of esteemed birth earn a most esteemed death.,,{3}{W}{B},5,81d3473c-2e53-5c6f-a484-122a95ed2237,447359,Regal Bloodlord,2,0.12,uncommon,"Flying
At the beginning of each end step, if you gained life this turn, create a 1/1 black Bat creature token with flying.",M19,"Vampire,Soldier",4,Creature
223,Sidharth Chaturvedi,31867,"G,W",3,"""The threads of magic that protect this place were woven by my will.""",,{1}{G}{W},3,379fd7c8-7aaa-5500-ac2f-492287b7e0f0,447360,Satyr Enchanter,2,1.39,uncommon,"Whenever you cast an enchantment spell, draw a card.",M19,"Satyr,Druid",2,Creature
224,Mitchell Malloy,31868,"G,U",4,,,{2}{G}{U},4,5dc18e7c-3ae2-52e6-9e1f-7924098e60b0,447361,Skyrider Patrol,2,0.08,uncommon,"Flying
At the beginning of combat on your turn, you may pay {G}{U}. When you do, put a +1/+1 counter on another target creature you control, and that creature gains flying until end of turn.",M19,"Elf,Scout",3,Creature
225,Steven Belledin,31869,"B,G,R",6,,,{3}{B}{R}{G},6,ea27dcab-1a5d-58b2-bb08-7f1f21b453df,447362,"Vaevictis Asmadi, the Dire",6,2.67,mythic,"Flying
Whenever Vaevictis Asmadi, the Dire attacks, for each player, choose target permanent that player controls. Those players sacrifice those permanents. Each player who sacrificed a permanent this way reveals the top card of their library, then puts it onto the battlefield if it's a permanent card.",M19,"Elder,Dragon",6,Creature
226,Aaron Miller,31870,,2,"Whether it is magical, lucky, or merely old, it is cherished, and that gives it power.",,{2},2,ea76e106-5aec-5548-b27a-1bc625a5edb4,447363,Amulet of Safekeeping,,0.12,rare,"Whenever you become the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {1}.
Creature tokens get -1/-0.",M19,,,Artifact
227,Nic Klein,31871,,3,"Knowledge itself is neither good nor evil. Just as the wrong book in the wrong hands could doom all existence, the same book in the right hands could save it.",,{3},3,fbcd0ff0-da22-5077-a0f2-2c996599bb02,447364,Arcane Encyclopedia,,0.21,uncommon,"{3}, {T}: Draw a card.",M19,,,Artifact
228,Kari Christensen,31872,,3,,,{3},3,04650b89-de65-5d96-9f74-3ad78e81bd49,447365,Chaos Wand,,0.20,rare,"{4}, {T}: Target opponent exiles cards from the top of their library until they exile an instant or sorcery card. You may cast that card without paying its mana cost. Then put the exiled cards that weren't cast this way on the bottom of that library in a random order.",M19,,,Artifact
229,Ron Spencer,31873,,3,Amidst the darkest ashes grow the strongest seeds.,,{3},3,31aaabfd-1f75-560f-bbd8-adb857509b09,447366,Crucible of Worlds,,39.91,mythic,You may play lands from your graveyard.,M19,,,Artifact
230,Dimitar Marinski,31874,,3,"The grave robbers were startled, for the door to the mausoleum was already open.",,{3},3,c30ca43d-6ef6-59af-abe1-00590dd01237,447367,Desecrated Tomb,,0.64,rare,"Whenever one or more creature cards leave your graveyard, create a 1/1 black Bat creature token with flying.",M19,,,Artifact
231,Alayna Danner,31875,,2,"When it passes, rainbows follow.",,{2},2,f19ad19f-fac8-5715-bd9f-b2070587c8a5,447368,Diamond Mare,1,0.09,uncommon,"As Diamond Mare enters the battlefield, choose a color.
Whenever you cast a spell of the chosen color, you gain 1 life.",M19,Horse,3,"Artifact,Creature"
232,Adam Paquette,31876,,3,,,{3},3,670ea7ee-c3b5-5656-a6d3-4c68d6b7a58b,447369,Dragon's Hoard,,0.83,rare,"Whenever a Dragon enters the battlefield under your control, put a gold counter on Dragon's Hoard.
{T}, Remove a gold counter from Dragon's Hoard: Draw a card.
{T}: Add one mana of any color.",M19,,,Artifact
233,Lindsey Look,31877,,1,"""Souls are volatile things. When compressed and loaded into a handheld device, their destructive potential is quite impressive.""
â€”Dierk, geistmage",,{1},1,611f0866-2df4-552a-97e9-f473f0a71d52,447370,Explosive Apparatus,,0.01,common,"{3}, {T}, Sacrifice Explosive Apparatus: It deals 2 damage to any target.",M19,,,Artifact
234,Anthony Palumbo,31878,,2,"As it walks across the fallow field, its awkward, loping gait matches the rattling in its head to create a haunting rhythm that chills the bones.",,{2},2,6597e979-d04d-56bf-93a3-83f20efb4f93,447371,Field Creeper,2,0.06,common,,M19,Scarecrow,1,"Artifact,Creature"
235,Adam Paquette,31879,,1,"Entrepreneurs have attempted to sell the water, but to no avail. Whatever magic it contains disappears upon bottling.",,{1},1,aa76a4ff-685f-56ae-85b2-b2cc51303a72,447372,Fountain of Renewal,,0.58,uncommon,"At the beginning of your upkeep, you gain 1 life.
{3}, Sacrifice Fountain of Renewal: Draw a card.",M19,,,Artifact
236,Drew Baker,31880,,3,"""Do not mistake a quiet rampart for one that is unguarded. Some things stir only when they need to.""
â€”Bonovar, siege commander",,{3},3,64f6c59d-e747-500d-a7e1-679b81e407d6,447373,Gargoyle Sentinel,3,0.01,uncommon,"Defender (This creature can't attack.)
{3}: Until end of turn, Gargoyle Sentinel loses defender and gains flying.",M19,Gargoyle,3,"Artifact,Creature"
237,Deruchenko Alexander,31881,,5,"Made in its creator's image, though slightly more clangy.",,{5},5,d86cfdfb-0f66-5b51-9e53-31d5fd22b21e,447374,Gearsmith Guardian,3,0.01,common,Gearsmith Guardian gets +2/+0 as long as you control a blue creature.,M19,Construct,5,"Artifact,Creature"
238,Adam Rex,31882,,3,,,{3},3,a94026d4-9d89-50e1-85f2-b5306fb1a0da,447375,Magistrate's Scepter,,0.31,rare,"{4}, {T}: Put a charge counter on Magistrate's Scepter.
{T}, Remove three charge counters from Magistrate's Scepter: Take an extra turn after this one.",M19,,,Artifact
239,Ryan Yee,31883,,3,"Planeswalkers seek out great monuments throughout the Multiverse, knowing that their builders were unwittingly drawn by the convergence of mana in the area.",,{3},3,f6bca956-409b-5eb3-843e-660702325ee9,447376,Manalith,,0.12,common,{T}: Add one mana of any color.,M19,,,Artifact
240,Mitchell Malloy,31884,,2,A sharp axe solves most problems.,,{2},2,cecf6d3e-6ecc-5433-b662-ef1ee7a62bf9,447377,Marauder's Axe,,0.01,common,"Equipped creature gets +2/+0.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",M19,Equipment,,Artifact
241,Lake Hurwitz,31885,,7,The impact sent the soldiers scatteringâ€”then something came out of the crater.,,{7},7,6df0b374-6ad1-5d3f-9d98-ac75f9da2734,447378,Meteor Golem,3,0.10,uncommon,"When Meteor Golem enters the battlefield, destroy target nonland permanent an opponent controls.",M19,Golem,3,"Artifact,Creature"
242,Yeong-Hao Han,31886,,2,"Minds, like mountains, are never so grand and mighty that they can't be reduced to dust.",,{2},2,279809a2-74a2-5e64-b4d4-f4a9f18f01ae,447379,Millstone,,0.10,uncommon,"{2}, {T}: Target player mills two cards.",M19,,,Artifact
243,Cyril Van Der Haegen,31887,,2,"Thievery requires subtlety, from the beginning of the heist to the end.",,{2},2,3fe40bd6-4693-5c76-89e7-914f737c70bf,447380,Rogue's Gloves,,0.26,uncommon,"Whenever equipped creature deals combat damage to a player, you may draw a card.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",M19,Equipment,,Artifact
244,John Stanko,31888,,3,,,{3},3,dfada566-4c61-5403-97e4-077c26b7bf2f,447381,Sigiled Sword of Valeron,,0.82,rare,"Equipped creature gets +2/+0, has vigilance, and is a Knight in addition to its other types.
Whenever equipped creature attacks, create a 2/2 white Knight creature token with vigilance that's attacking.
Equip {3}",M19,Equipment,,Artifact
245,Adam Paquette,31889,,3,"The municipal senate makes extensive use of the thopters, mostly to gather dirt on rival senators.",,{3},3,ea76a6b7-502e-55b3-8ba0-ca4a812061f7,447382,Skyscanner,1,0.07,common,"Flying
When Skyscanner enters the battlefield, draw a card.",M19,Thopter,1,"Artifact,Creature"
246,Anastasia Ovchinnikova,31890,,2,"All the books were dusty with disuse, save the one titled *Camouflage and Its Practical Applications*.",,{2},2,4b879948-1ce4-507a-b1b5-75e242f123b2,447383,Suspicious Bookcase,0,0.22,uncommon,"Defender (This creature can't attack.)
{3}, {T}: Target creature can't be blocked this turn.",M19,Wall,4,"Artifact,Creature"
247,Aaron Miller,31891,,3,,,{3},3,043d55a8-4518-5d00-9683-5c0fabfe2150,447384,Transmogrifying Wand,,0.24,rare,"Transmogrifying Wand enters the battlefield with three charge counters on it.
{1}, {T}, Remove a charge counter from Transmogrifying Wand: Destroy target creature. Its controller creates a 2/4 white Ox creature token. Activate only as a sorcery.",M19,,,Artifact
248,Titus Lunter,31892,,0,"""I do as I choose with what is mine. And it is all mine.""
â€”Nicol Bolas",,,0,d4163b20-1441-525d-8f62-4283f4269dea,447385,Cinder Barrens,,0.12,common,"Cinder Barrens enters the battlefield tapped.
{T}: Add {B} or {R}.",M19,,,Land
249,Adam Paquette,31893,,0,Its light exposes enemies and lays secrets bare.,,,0,0b7a8872-753e-558c-9738-9988e88af3f2,447386,Detection Tower,,0.98,rare,"{T}: Add {C}.
{1}, {T}: Until end of turn, your opponents and creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didn't have hexproof.",M19,,,Land
250,Vincent Proce,31894,,0,"""Prayers will curdle on the tongue and be heard by rotting ears.""
â€”Minaldra, the Vizag Atum",,,0,8edcbcd4-24cc-580d-a55a-d98fcfdd21ac,447387,Forsaken Sanctuary,,0.11,common,"Forsaken Sanctuary enters the battlefield tapped.
{T}: Add {W} or {B}.",M19,,,Land
251,Yeong-Hao Han,31895,,0,"The stench of rotting meat lures flies, goblins, and young raptors.",,,0,13da86fc-9e52-5b6c-ab54-32dc8c6ab9fd,447388,Foul Orchard,,0.09,common,"Foul Orchard enters the battlefield tapped.
{T}: Add {B} or {G}.",M19,,,Land
252,Noah Bradley,31896,,0,"""A place like this makes me wonder if there's more to life than blood and treasure . . . Nah.""
â€”Boyl Bucksalt, Storm Fleet swab",,,0,a81bd1fc-00f2-5f50-8299-2dcea25fa996,447389,Highland Lake,,0.10,common,"Highland Lake enters the battlefield tapped.
{T}: Add {U} or {R}.",M19,,,Land
253,Cliff Childs,31897,,0,The river split into many channels as it flowed to the Halimar Sea. Few travelers could follow the same one twice.,,,0,3f7ef757-aece-57a2-aa8d-66d6e87514ff,447390,Meandering River,,0.09,common,"Meandering River enters the battlefield tapped.
{T}: Add {W} or {U}.",M19,,,Land
254,Jesper Ejsing,31898,,0,The most holy treasures are kept far from unclean soil.,,,0,a6cd036c-bcac-5055-bb04-58d278ce8c44,447391,Reliquary Tower,,3.77,uncommon,"You have no maximum hand size.
{T}: Add {C}.",M19,,,Land
255,Jaime Jones,31899,,0,,,,0,b401a2d2-4f71-5e97-a77c-10321d0823d2,447392,Rupture Spire,,0.14,uncommon,"Rupture Spire enters the battlefield tapped.
When Rupture Spire enters the battlefield, sacrifice it unless you pay {1}.
{T}: Add one mana of any color.",M19,,,Land
256,Efflam Mercier,31900,,0,The bedrock has many gifts to give.,,,0,233bb394-ecbe-5ccc-9c00-d9eb5562c814,447393,Stone Quarry,,0.05,common,"Stone Quarry enters the battlefield tapped.
{T}: Add {R} or {W}.",M19,,,Land
